Rank,Country,country,continent,2024 population,2023 population,2022 population,2020 population,2015 population,2010 population,2000 population,1990 population,1980 population,1970 population,Land Area (Km²),density (km²),Yearly Change,Net Change,Fert. Rate,Med. Age,Urban Pop %,growth rate,world percentage
116,SVK,Slovakia,Europe,5805962,5795199,5643453,5456681,5424444,5396424,5376690,5261305,4973883,4522867,"10,230",118,0.56%,"32,469",2.2,29,88%,2.69%,0.07%
117,CAF,Central African Republic,Africa,5617310,5742315,5579144,5343020,4819333,4660067,3759170,2809221,2415276,2067356,"3,03,890",9,0.29%,"16,125",1.3,43,86%,2.92%,0.07%
118,FIN,Finland,Europe,5612817,5545475,5540745,5529468,5479461,5363271,5176209,4986545,4779418,4606621,"96,320",18,2.18%,"1,19,786",3.9,19,54%,0.09%,0.07%
119,NOR,Norway,Europe,5576660,5474360,5434319,5379839,5190356,4889741,4491202,4241636,4085776,3875546,"3,65,268",15,1.04%,"57,493",1.4,40,86%,0.74%,0.07%
120,LBR,Liberia,Africa,5506760,5418377,5302681,5087584,4612329,4019956,2895224,2209731,1932169,1463563,"48,088",56,-0.20%,"-11,295",1.6,42,54%,2.18%,0.07%
121,PSE,Palestine,Asia,5495443,5371230,5250072,5019401,4484614,3992278,3139954,2124609,1453620,1118241,"6,020",892,1.59%,"86,241",3.3,20,83%,2.31%,0.07%
122,LBN,Lebanon,Asia,5330690,5353930,5489739,5662923,6398940,4995800,4320642,3593700,2963702,2381791,"6,22,980",523,3.46%,"1,78,269",6,14,44%,-2.47%,0.07%
123,NZL,New Zealand,Oceania,5281538,5228100,5185288,5061133,4590590,4346338,3855266,3397389,3147168,2824061,"3,09,500",20,4.60%,"2,32,269",2.5,29,93%,0.83%,0.06%
124,CRI,Costa Rica,North America,5255017,5212173,5180829,5123105,4895242,4622252,3979193,3158253,2414303,1855697,"68,890",102,1.12%,"58,387",1.6,39,62%,0.60%,0.06%
125,IRL,Ireland,Europe,5213944,5056935,5023109,4946119,4665760,4524585,3768950,3485374,3391387,2937637,"2,63,310",73,0.79%,"41,108",1.7,38,83%,0.67%,0.06%
